-18065	Oakland Military Institute College Preparatory Academy	""		CA	1		0	2026-02-03 01:38:05	1770082685	18155	1
-18064	Salesian College Preparatory	""		CA	1		0	2026-02-03 01:38:02	1770082682	18154	1
-18063	Los Angeles College Prep Academy	""		CA	1		0	2026-02-03 01:38:00	1770082680	18153	1
-18062	Ceiba College Preparatory Academy	""		CA	1		0	2026-02-03 01:37:58	1770082678	18152	1
-18061	Aims K-12 College Prep Charter District	""		CA	1		0	2026-02-03 01:37:54	1770082674	18151	1
-18060	College Prep Genius	""		CA	1		0	2026-02-03 01:37:50	1770082670	18150	1
-18059	 Mission College Preparatory Catholic High School	""		CA	1		0	2026-02-03 01:37:47	1770082667	18149	1
-18058	Chaminade College Preparatory	""		CA	1		0	2026-02-03 01:37:41	1770082661	18148	1
-18057	New Light Wellness	""		CA	1		0	2026-02-02 22:42:05	1770072125	18147	1
-18056	Gateway College and Career Academy	""		CA	1		0	2026-02-02 22:04:57	1770069897	18146	1
-18055	San Joaquin County Trial Lawyers Association	""		CA	1		0	2026-02-02 22:04:51	1770069891	18145	1
-18054	San Francisco Trial Lawyers Association	""		CA	1		0	2026-02-02 22:04:49	1770069889	18144	1
-18053	Orange County Trial Lawyers Association	""		CA	1		0	2026-02-02 22:04:46	1770069886	18143	1
-18052	Central Valley Trial Lawyers Association	""		CA	1		0	2026-02-02 22:04:41	1770069881	18142	1
-18051	Capitol City Trial Lawyers Association	""		CA	1		0	2026-02-02 22:04:38	1770069878	18141	1
-18050	Invictus Leadership Academy	""		CA	1		0	2026-02-02 22:03:49	1770069829	18140	1
-18049	Emily Ramos, Vice Mayor, Mountain View	""		CA	1		0	2026-02-02 22:03:09	1770069789	18139	1
-18048	Arab Resource & Organizing Center Action	""		CA	1		0	2026-02-02 22:02:45	1770069765	18138	1
-18047	American Heritage Charter Schools	""		CA	1		0	2026-02-02 22:02:19	1770069739	18137	1
-18046	Crossroads Charter Academy	""		CA	1		0	2026-02-02 22:02:15	1770069735	18136	1
-18045	Independent Voter Education	""		CA	1		0	2026-02-02 22:02:00	1770069720	18135	1
-18044	Jed Leano, Claremont City Councilmember	""		CA	1		0	2026-02-02 22:01:34	1770069694	18134	1
-18043	Phoebe Shin Venkat, Councilmember - Foster City	""		CA	1		0	2026-02-02 22:00:51	1770069651	18133	1
-18042	Pathway to Tomorrow	""		CA	1		0	2026-02-02 22:00:27	1770069627	18132	1
-18041	Sushi Nozawa	""		CA	1		0	2026-02-02 22:00:05	1770069605	18131	1
-18040	Unidos Network INC	""		CA	1		0	2026-02-02 21:59:51	1770069591	18130	1
-18039	National AI Youth Council	""		CA	1		0	2026-02-02 21:59:29	1770069569	18129	1
-18038	Santa Clara Valley Bird Alliance	""		CA	1		0	2026-02-02 21:59:20	1770069560	18128	1
-18037	California Youth Defender Center	""		CA	1		0	2026-02-02 21:59:07	1770069547	18127	1
-18036	Brian Barnacle, Councilmember, Petaluma	""		CA	1		0	2026-02-02 21:53:09	1770069189	18126	1
-18035	Forest Ranch Charter	""		CA	1		0	2026-02-02 21:52:32	1770069152	18125	1
-18034	Howard Gardner Community School	""		CA	1		0	2026-02-02 21:52:30	1770069150	18124	1
-18033	Irvine International Academy	""		CA	1		0	2026-02-02 21:52:26	1770069146	18123	1
-18032	The Cottonwood School	""		CA	1		0	2026-02-02 21:52:20	1770069140	18122	1
-18031	Tehama eLearning Academy	""		CA	1		0	2026-02-02 21:52:16	1770069136	18121	1
-18030	San Diego Virtual School	""		CA	1		0	2026-02-02 21:52:12	1770069132	18120	1
-18029	California Online Public School	""		CA	1		0	2026-02-02 21:51:58	1770069118	18119	1
-18028	Allegiance STEAM Academy	""		CA	1		0	2026-02-02 21:51:15	1770069075	18118	1
-18027	Brookfield Engineering Science Technology	""		CA	1		0	2026-02-02 21:51:05	1770069065	18117	1
-18026	Antioch Charter Academy	""		CA	1		0	2026-02-02 21:50:54	1770069054	18116	1
-18025	California Consumer Advocates for Affordability and Safety	""		CA	1		0	2026-02-02 21:50:34	1770069034	18115	1
-18024	Casey Glaubman, Councilmember of Mount Shasta	""		CA	1		0	2026-02-02 21:49:15	1770068955	18114	1
-18023	International Lawyers Assisting Workers  Network	""		CA	1		0	2026-02-02 21:48:23	1770068903	18113	1
-18022	California Public Banking Alliance	""		CA	1		0	2026-02-02 21:48:06	1770068886	18112	1
-18021	The Center for Ai and Digital Policy	""		CA	1		0	2026-02-02 21:47:02	1770068822	18111	1
-18020	Californians for Equal Rights Foundation	""		CA	1		0	2026-02-02 21:46:33	1770068793	18110	1
-18019	Welcoming Neighbors Home	""		CA	1		0	2026-02-02 21:46:14	1770068774	18109	1
-18018	Remake Irvine Streets for Everyone	""		CA	1		0	2026-02-02 21:45:36	1770068736	18108	1
-18017	California Coalition Of Utility Workers	""		CA	1		0	2026-02-02 21:44:58	1770068698	18107	1
-18016	Primo Beverage Company	""		CA	1		0	2026-02-02 21:42:44	1770068564	18106	1
-18015	ChakraTech	""		CA	1		0	2026-02-02 21:42:25	1770068545	18105	1
-18014	Colusa; County of 	""		CA	1		0	2026-02-02 21:41:06	1770068466	18104	1
-18013	Baby2Baby	""		CA	1		0	2026-02-02 21:40:37	1770068437	18103	1
-18012	Thomas Aquinas College	""		CA	1		0	2026-02-02 20:45:44	1770065144	18102	1
-18011	Mount San Antonio College	""		CA	1		0	2026-02-02 20:16:46	1770063406	18101	1
-18010	Silicon Valley Power	""		CA	1		0	2026-02-02 17:38:50	1770053930	18100	1
-18009	California Virtual Academies	""		CA	1		0	2026-01-28 22:46:32	1769640392	18099	1
-18008	Community Solutions	""		CA	1		0	2026-01-28 21:08:32	1769634512	18098	1
-18007	Military Veterans Affairs County of Los Angeles	""		CA	1		0	2026-01-28 21:07:34	1769634454	18097	1
-18006	Los Angeles County Department of Military and Veterans Affairs	""		CA	1		0	2026-01-28 21:01:52	1769634112	18096	1
-18005	Los Angeles Veterans Collaborative	""		CA	1		0	2026-01-28 21:01:21	1769634081	18095	1
-18004	Long Beach Area Veterans Collaborative	""		CA	1		0	2026-01-28 21:01:17	1769634077	18094	1
-18003	California Enlisted Association of the National Guard of the United States	""		CA	1		0	2026-01-28 20:20:54	1769631654	18093	1
-18002	Tijuana River Coalition	""		CA	1		0	2026-01-28 20:20:20	1769631620	18092	1
-18001	Village for Vets	""		CA	1		0	2026-01-28 20:20:10	1769631610	18091	1
-18000	Korean War Veterans Association	""		CA	1		0	2026-01-28 20:19:59	1769631599	18090	1
-17999	Purple Heart Homes (PHH)	""		CA	1		0	2026-01-28 20:17:34	1769631454	18089	1
