682	Industry	Real Estate	Contributions	2024-01-02 22:57:32
704	Business	Police unions & associations	Contributions	2024-01-02 22:57:32
704	Group	Labor	Contributions	2024-01-02 22:57:32
704	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
706	Business	Farm organizations & cooperatives	Contributions	2024-01-02 22:57:32
706	Group	Agriculture	Contributions	2024-01-02 22:57:32
706	Industry	Agricultural Services & Products	Contributions	2024-01-02 22:57:32
709	Business	Accident & health insurance	Contributions	2024-01-02 22:57:32
709	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
709	Industry	Insurance	Contributions	2024-01-02 22:57:32
710	Business	Dentists	Contributions	2024-01-02 22:57:32
710	Group	Health	Contributions	2024-01-02 22:57:32
710	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
719	Business	Insurance agencies, brokers & agents	Contributions	2024-01-02 22:57:32
719	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
719	Industry	Insurance	Contributions	2024-01-02 22:57:32
730	Business	Insurance companies, general	Contributions	2024-01-02 22:57:32
730	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
730	Industry	Insurance	Contributions	2024-01-02 22:57:32
736	Business	Police unions & associations	Contributions	2024-01-02 22:57:32
736	Group	Labor	Contributions	2024-01-02 22:57:32
736	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
740	Business	LPG/Liquid propane dealers & producers	Contributions	2024-01-02 22:57:32
740	Group	Energy & Natural Resources	Contributions	2024-01-02 22:57:32
740	Industry	Oil & Gas	Contributions	2024-01-02 22:57:32
759	Business	Other physician specialists	Contributions	2024-01-02 22:57:32
759	Group	Health	Contributions	2024-01-02 22:57:32
759	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
764	Business	Psychiatrists & psychologists	Contributions	2024-01-02 22:57:32
764	Group	Health	Contributions	2024-01-02 22:57:32
764	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
773	Business	Vegetables, fruits & tree nuts	Contributions	2024-01-02 22:57:32
773	Group	Agriculture	Contributions	2024-01-02 22:57:32
773	Industry	Crop Production & Basic Processing	Contributions	2024-01-02 22:57:32
796	Business	Accident & health insurance	Contributions	2024-01-02 22:57:32
796	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
796	Industry	Insurance	Contributions	2024-01-02 22:57:32
800	Business	Health care products	Contributions	2024-01-02 22:57:32
800	Group	Health	Contributions	2024-01-02 22:57:32
800	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
806	Business	Public works, industrial & commercial construction	Contributions	2024-01-02 22:57:32
806	Group	Construction	Contributions	2024-01-02 22:57:32
806	Industry	General Contractors	Contributions	2024-01-02 22:57:32
811	Business	Paging & cellular phones and services	Contributions	2024-01-02 22:57:32
811	Group	Communications & Electronics	Contributions	2024-01-02 22:57:32
811	Industry	Telecom Services & Equipment	Contributions	2024-01-02 22:57:32
814	Business	Building operators & managers	Contributions	2024-01-02 22:57:32
814	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
814	Industry	Real Estate	Contributions	2024-01-02 22:57:32
821	Business	Employment agencies	Contributions	2024-01-02 22:57:32
821	Business	Uncoded	Contributions	2024-01-02 22:57:32
821	Group	General Business	Contributions	2024-01-02 22:57:32
821	Group	Uncoded	Contributions	2024-01-02 22:57:32
821	Industry	Business Services	Contributions	2024-01-02 22:57:32
821	Industry	Uncoded	Contributions	2024-01-02 22:57:32
822	Business	Casinos, racetracks & gambling	Contributions	2024-01-02 22:57:32
822	Group	General Business	Contributions	2024-01-02 22:57:32
822	Industry	Gambling & Casinos	Contributions	2024-01-02 22:57:32
870	Business	Household appliances	Contributions	2024-01-02 22:57:32
870	Group	General Business	Contributions	2024-01-02 22:57:32
870	Industry	Miscellaneous Manufacturing & Distributing	Contributions	2024-01-02 22:57:32
880	Business	Pharmacists	Contributions	2024-01-02 22:57:32
880	Group	Health	Contributions	2024-01-02 22:57:32
880	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
905	Business	Residential construction	Contributions	2024-01-02 22:57:32
905	Group	Construction	Contributions	2024-01-02 22:57:32
905	Industry	Home Builders	Contributions	2024-01-02 22:57:32
918	Business	Glass products	Contributions	2024-01-02 22:57:32
918	Group	General Business	Contributions	2024-01-02 22:57:32
918	Industry	Miscellaneous Manufacturing & Distributing	Contributions	2024-01-02 22:57:32
953	Business	Pest control	Contributions	2024-01-02 22:57:32
953	Group	General Business	Contributions	2024-01-02 22:57:32
953	Industry	Miscellaneous Services	Contributions	2024-01-02 22:57:32
954	Business	Wine & distilled spirits manufacturing	Contributions	2024-01-02 22:57:32
954	Group	General Business	Contributions	2024-01-02 22:57:32
954	Industry	Beer, Wine & Liquor	Contributions	2024-01-02 22:57:32
964	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
964	Group	Health	Contributions	2024-01-02 22:57:32
964	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
996	Business	Liquor wholesalers	Contributions	2024-01-02 22:57:32
996	Group	General Business	Contributions	2024-01-02 22:57:32
996	Industry	Beer, Wine & Liquor	Contributions	2024-01-02 22:57:32
1002	Business	Petroleum refining & marketing	Contributions	2024-01-02 22:57:32
1002	Group	Energy & Natural Resources	Contributions	2024-01-02 22:57:32
1002	Industry	Oil & Gas	Contributions	2024-01-02 22:57:32
1020	Business	Property & casualty insurance	Contributions	2024-01-02 22:57:32
1020	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
1020	Industry	Insurance	Contributions	2024-01-02 22:57:32
1040	Business	Vegetables, fruits & tree nuts	Contributions	2024-01-02 22:57:32
1040	Group	Agriculture	Contributions	2024-01-02 22:57:32
1040	Industry	Crop Production & Basic Processing	Contributions	2024-01-02 22:57:32
1042	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
1042	Group	Health	Contributions	2024-01-02 22:57:32
1042	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
1066	Business	Corrections officers unions and associations	Contributions	2024-01-02 22:57:32
1066	Group	Labor	Contributions	2024-01-02 22:57:32
1066	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
1069	Business	Accountants	Contributions	2024-01-02 22:57:32
1069	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
1069	Industry	Accountants	Contributions	2024-01-02 22:57:32
1076	Business	Accountants	Contributions	2024-01-02 22:57:32
1076	Business	Uncoded	Contributions	2024-01-02 22:57:32
1076	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
1076	Group	Uncoded	Contributions	2024-01-02 22:57:32
1076	Industry	Accountants	Contributions	2024-01-02 22:57:32
1076	Industry	Uncoded	Contributions	2024-01-02 22:57:32
1082	Business	Poultry & eggs	Contributions	2024-01-02 22:57:32
1082	Group	Agriculture	Contributions	2024-01-02 22:57:32
1082	Industry	Poultry & Eggs	Contributions	2024-01-02 22:57:32
1087	Business	Employment agencies	Contributions	2024-01-02 22:57:32
1087	Group	General Business	Contributions	2024-01-02 22:57:32
1087	Industry	Business Services	Contributions	2024-01-02 22:57:32
1091	Business	Native American tribes & governing units	Contributions	2024-01-02 22:57:32
1091	Group	Government Agencies/Education/Other	Contributions	2024-01-02 22:57:32
1091	Industry	Tribal Governments	Contributions	2024-01-02 22:57:32
1092	Business	Hotels & motels	Contributions	2024-01-02 22:57:32
1092	Group	General Business	Contributions	2024-01-02 22:57:32
1092	Industry	Lodging & Tourism	Contributions	2024-01-02 22:57:32
1096	Business	Equipment rental & leasing	Contributions	2024-01-02 22:57:32
1096	Group	General Business	Contributions	2024-01-02 22:57:32
1096	Industry	Miscellaneous Services	Contributions	2024-01-02 22:57:32
1097	Business	Food stores	Contributions	2024-01-02 22:57:32
1097	Group	Agriculture	Contributions	2024-01-02 22:57:32
1097	Industry	Food Processing & Sales	Contributions	2024-01-02 22:57:32
1099	Business	Physicians	Contributions	2024-01-02 22:57:32
1099	Group	Health	Contributions	2024-01-02 22:57:32
1099	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
1103	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
1103	Group	Health	Contributions	2024-01-02 22:57:32
1103	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
1106	Business	Medical supplies manufacturing & sales	Contributions	2024-01-02 22:57:32
1106	Group	Health	Contributions	2024-01-02 22:57:32
1106	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
1107	Business	Chemicals	Contributions	2024-01-02 22:57:32
1107	Group	General Business	Contributions	2024-01-02 22:57:32
1107	Industry	Chemical & Related Manufacturing	Contributions	2024-01-02 22:57:32
1118	Business	Airlines	Contributions	2024-01-02 22:57:32
1118	Group	Transportation	Contributions	2024-01-02 22:57:32
1118	Industry	Air Transport	Contributions	2024-01-02 22:57:32
1139	Business	Other physician specialists	Contributions	2024-01-02 22:57:32
1139	Group	Health	Contributions	2024-01-02 22:57:32
1139	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
1160	Business	Railroads	Contributions	2024-01-02 22:57:32
1160	Group	Energy & Natural Resources	Contributions	2024-01-02 22:57:32
1160	Industry	Railroads	Contributions	2024-01-02 22:57:32
1164	Business	Health care institutions	Contributions	2024-01-02 22:57:32
1164	Group	Health	Contributions	2024-01-02 22:57:32
1164	Industry	Hospitals & Nursing Homes	Contributions	2024-01-02 22:57:32
1177	Business	Sea freight & passenger services	Contributions	2024-01-02 22:57:32
1177	Group	Transportation	Contributions	2024-01-02 22:57:32
1177	Industry	Sea Transport	Contributions	2024-01-02 22:57:32
1192	Business	Dentists	Contributions	2024-01-02 22:57:32
1192	Group	Health	Contributions	2024-01-02 22:57:32
1192	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
1209	Business	Trucking	Contributions	2024-01-02 22:57:32
1209	Group	Transportation	Contributions	2024-01-02 22:57:32
1209	Industry	Trucking	Contributions	2024-01-02 22:57:32
1223	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
1223	Group	Health	Contributions	2024-01-02 22:57:32
1223	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
1230	Business	Uncoded	Contributions	2024-01-02 22:57:32
1230	Group	Uncoded	Contributions	2024-01-02 22:57:32
1230	Industry	Uncoded	Contributions	2024-01-02 22:57:32
